"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-01,190,monthly,261935,2007-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-01,12794,monthly,267658,2007-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-02,138,monthly,262304,2007-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-02,12194,monthly,270780,2007-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-03,149,monthly,260488,2007-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-03,14546,monthly,273479,2007-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-04,152,monthly,264463,2007-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-04,12568,monthly,278805,2007-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-05,157,monthly,269630,2007-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-05,14059,monthly,282726,2007-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-06,257,monthly,272286,2007-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-06,15799,monthly,285958,2007-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-07,212,monthly,273461,2007-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-07,16037,monthly,295694,2007-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-08,232,monthly,275348,2007-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-08,16824,monthly,297653,2007-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-09,206,monthly,273835,2007-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-09,13748,monthly,298414,2007-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-10,200,monthly,275913,2007-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-10,13890,monthly,298559,2007-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-11,165,monthly,276910,2007-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-11,13174,monthly,297648,2007-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2007-12,131,monthly,283241,2007-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-12,9938,monthly,297994,2007-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2008-01,94,monthly,277322,2008-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-01,8541,monthly,298596,2008-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2008-02,111,monthly,273256,2008-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-02,8773,monthly,295700,2008-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2008-03,96,monthly,266227,2008-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-03,8002,monthly,293605,2008-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2008-04,101,monthly,262265,2008-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-04,8074,monthly,294346,2008-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2008-05,118,monthly,259493,2008-05-01
